# Weather condition codes
# Icon is the image provided by openweathermap
# BootstrapIcon is the weather font provided by Bootstrap
# ReactIcon is from react-icons/wi (Weather Icons)

# Group 2xx: Thunderstorm
# ID	Meaning	                    Icon BootstrapIcon      ReactIcon
200	thunderstorm with light rain	11d icon-weather-005    WiThunderstorm
201	thunderstorm with rain	        11d icon-weather-005    WiThunderstorm
202	thunderstorm with heavy rain	11d icon-weather-005    WiThunderstorm
210	light thunderstorm	            11d icon-weather-033    WiLightning
211	thunderstorm	                11d icon-weather-033    WiLightning
212	heavy thunderstorm	            11d icon-weather-033    WiLightning
221	ragged thunderstorm	            11d icon-weather-033    WiLightning
230	thunderstorm with light drizzle	11d icon-weather-006    WiStormShowers
231	thunderstorm with drizzle	    11d icon-weather-006    WiStormShowers
232	thunderstorm with heavy drizzle	11d icon-weather-006    WiStormShowers

# Group 3xx: Drizzle
# ID	Meaning	                    Icon BootstrapIcon      ReactIcon
300	light intensity drizzle	        09d icon-weather-004    WiSprinkle
301	drizzle	                        09d icon-weather-004    WiSprinkle
302	heavy intensity drizzle	        09d icon-weather-004    WiSprinkle
310	light intensity drizzle rain	09d icon-weather-004    WiRain
311	drizzle rain	                09d icon-weather-004    WiRain
312	heavy intensity drizzle rain	09d icon-weather-004    WiRain
313	shower rain and drizzle	        09d icon-weather-004    WiShowers
314	heavy shower rain and drizzle	09d icon-weather-004    WiShowers
321	shower drizzle	                09d icon-weather-004    WiShowers


# Group 5xx: Rain
# ID	Meaning	                    Icon BootstrapIcon      ReactIcon
500	light rain	                    10d icon-weather-008    WiRainMix
501	moderate rain	                10d icon-weather-007    WiRain
502	heavy intensity rain	        10d icon-weather-031    WiRain
503	very heavy rain	                10d icon-weather-031    WiRain
504	extreme rain	                10d icon-weather-031    WiRain
511	freezing rain	                13d icon-weather-031    WiRainMix
520	light intensity shower rain	    09d icon-weather-007    WiShowers
521	shower rain	                    09d icon-weather-007    WiShowers
522	heavy intensity shower rain	    09d icon-weather-031    WiShowers
531	ragged shower rain	            09d icon-weather-031    WiShowers

# Group 6xx: Snow
# ID	Meaning	                    Icon BootstrapIcon      ReactIcon
600	light snow	                    13d icon-weather-056    WiSnow
601	snow	                        13d icon-weather-051    WiSnow
602	heavy snow	                    13d icon-weather-051    WiSnow
611	sleet	                        13d icon-weather-038    WiSleet
612	shower sleet	                13d icon-weather-038    WiSleet
615	light rain and snow	            13d icon-weather-051    WiRainMix
616	rain and snow	                13d icon-weather-051    WiRainMix
620	light shower snow	            13d icon-weather-056    WiSnow
621	shower snow	                    13d icon-weather-038    WiSleet
622	heavy shower snow	            13d icon-weather-051    WiSnow

# Group 7xx: Atmosphere
# ID	Meaning	                    Icon BootstrapIcon      ReactIcon
701	mist	                        50d icon-weather-043    WiFog
711	smoke	                        50d icon-weather-043    WiSmoke
721	haze	                        50d icon-weather-043    WiDayHaze
731	sand, dust whirls	            50d icon-weather-043    WiDust
741	fog	                            50d icon-weather-043    WiFog
751	sand	                        50d icon-weather-043    WiSandstorm
761	dust	                        50d icon-weather-043    WiDust
762	volcanic ash	                50d icon-weather-043    WiVolcano
771	squalls	                        50d icon-weather-043    WiStrongWind
781	tornado	                        50d icon-weather-043    WiTornado

# Group 800: Clear
# ID	Meaning	                    Icon BootstrapIcon      ReactIcon
800	clear sky	                    01d icon-weather-023    WiDaySunny

# Group 80x: Clouds
# ID	Meaning	                    Icon BootstrapIcon      ReactIcon
801	few clouds	                    02d icon-weather-001    WiDayCloudyGusts
802	scattered clouds	            03d icon-weather-003    WiCloudy
803	broken clouds	                04d icon-weather-022    WiCloudy
804	overcast clouds	                04d icon-weather-022    WiCloudy
